dimension,subgroup,outcome,att,ci_low,ci_high,ntr,n_cohorts
Geographic isolation,Isolated,Net fixed assets,-0.0012595429805448157,-0.020132293986425017,0.01761320802533539,364,7
Geographic isolation,Isolated,Capital expenditures per bed,0.9581578056910172,0.36325844995638146,1.5530571614256528,325,7
Geographic isolation,Isolated,Net patient revenue per bed,-2.3701793349856257,-15.260147391653655,10.519788721682405,366,7
Geographic isolation,Isolated,Operating expenses per bed,-16.113894730898608,-27.459476522569894,-4.76831293922732,382,7
Geographic isolation,Isolated,Total beds,-7.654727385293874,-9.326848819797721,-5.982605950790028,408,7
Geographic isolation,Isolated,OB beds,-0.506194329667326,-0.6728516048541827,-0.33953705448046934,402,7
Geographic isolation,Isolated,FTE RNs,-2.3115892273324206,-3.0932011219734648,-1.5299773326913764,408,7
Geographic isolation,Isolated,Inpatient days per bed,-22.77906996182322,-28.437470280170793,-17.12066964347565,408,7
Geographic isolation,Isolated,System membership,0.01619383629476423,-0.02253214980483937,0.05491982239436783,113,7
Geographic isolation,Proximate,Operating margin,0.03466421748924295,0.02565072355505528,0.04367771142343062,431,7
Geographic isolation,Proximate,Current ratio,0.008501130693138586,-0.12826436901295424,0.14526663039923143,430,7
Geographic isolation,Proximate,Net fixed assets,-0.010382405458660152,-0.022753887498062633,0.0019890765807423303,431,7
Geographic isolation,Proximate,Capital expenditures per bed,-0.10205769419769427,-0.6087895736727106,0.404674185277322,392,7
Geographic isolation,Proximate,Net patient revenue per bed,-19.253585720950934,-32.76078563584076,-5.7463858060611095,431,7
Geographic isolation,Proximate,Operating expenses per bed,-28.035961712772995,-40.169625964485284,-15.902297461060707,439,7
Geographic isolation,Proximate,Total beds,-6.44644797953305,-8.603423648367295,-4.289472310698805,467,7
Geographic isolation,Proximate,OB beds,-0.8240744217146765,-1.0391961771024794,-0.6089526663268736,458,7
Geographic isolation,Proximate,FTE RNs,-3.894733883635044,-5.3763781254840985,-2.413089641785989,467,7
Geographic isolation,Proximate,Inpatient days per bed,-14.250836350982004,-18.92535967282848,-9.576313029135527,467,7
Geographic isolation,Proximate,System membership,0.07637948959363663,0.035686456543830604,0.11707252264344267,174,7
Pre-treatment margin,Above median,Operating margin,0.035230156267911844,0.02680360260743171,0.043656709928391976,411,6
Pre-treatment margin,Above median,Current ratio,0.10761645484542462,-0.029131440197532055,0.2443643498883813,410,6
Pre-treatment margin,Above median,Net fixed assets,-0.006557239111950767,-0.02200793528355367,0.008893457059652138,411,6
Pre-treatment margin,Above median,Capital expenditures per bed,0.20551762221003347,-0.326612541731341,0.7376477861514079,381,6
Pre-treatment margin,Above median,Net patient revenue per bed,-1.1568512100283146,-14.714060876201502,12.400358456144874,411,6
Pre-treatment margin,Above median,Operating expenses per bed,-16.886704237353793,-29.21409360002591,-4.559314874681675,415,7
Pre-treatment margin,Above median,Total beds,-7.835743199126456,-10.042216409564125,-5.629269988688787,415,7
Pre-treatment margin,Above median,OB beds,-0.9364299483887729,-1.1641315859336208,-0.708728310843925,409,7
Pre-treatment margin,Above median,FTE RNs,-2.358529952234601,-4.010509208738673,-0.7065506957305281,415,7
Pre-treatment margin,Above median,Inpatient days per bed,-14.936790437938498,-19.298903233067005,-10.574677642809991,415,7
Pre-treatment margin,Above median,System membership,0.02760191158855516,-0.004725854950256517,0.05992967812736684,152,6
Pre-treatment margin,Below median,Operating margin,0.02489047020306356,0.014038141218278406,0.035742799187848714,382,7
Pre-treatment margin,Below median,Current ratio,-0.09793169008487601,-0.2626103853043985,0.06674700513464649,382,7
Pre-treatment margin,Below median,Net fixed assets,0.0023922911994882653,-0.013244159325006636,0.018028741723983166,380,7
Pre-treatment margin,Below median,Capital expenditures per bed,0.5880678613642351,0.04476153441900377,1.1313741883094663,335,7
Pre-treatment margin,Below median,Net patient revenue per bed,-20.03534430139032,-32.30536042690325,-7.765328175877391,382,7
Pre-treatment margin,Below median,Operating expenses per bed,-23.872878294528185,-34.43971172287251,-13.30604486618386,403,7
Pre-treatment margin,Below median,Total beds,-6.6702740154635825,-8.699610794859016,-4.640937236068148,404,7
Pre-treatment margin,Below median,OB beds,-0.3737800844321669,-0.5355979244691347,-0.21196224439519915,397,7
Pre-treatment margin,Below median,FTE RNs,-3.740504597921125,-4.711499370004596,-2.769509825837654,404,7
Pre-treatment margin,Below median,Inpatient days per bed,-20.053378228787565,-26.007072741070495,-14.099683716504638,404,7
Pre-treatment margin,Below median,System membership,0.05636471612693911,0.006595978029873564,0.10613345422400465,111,7
System membership,System,Operating margin,0.03237440330418043,0.02169797385979004,0.043050832748570814,336,7
